Model,Accuracy,Precision,Recall,F1,Training Time
BERT-base (fine-tuned),0.7368421052631579,0.6896551724137931,0.9523809523809523,0.8,585.0164968967438
SVM (RBF Kernel),0.6190476190476191,0.6493506493506493,0.704225352112676,0.6756756756756757,13.373449799997616
Random Forest (TF-IDF),0.6428571428571429,0.7321428571428571,0.5774647887323944,0.6456692913385826,15.647258700002567
Stacking Ensemble,0.6111111111111112,0.671875,0.6056338028169014,0.6370370370370371,2.395868099993095
Gradient Boosting (Engineered Features),0.5714285714285714,0.6268656716417911,0.5915492957746479,0.6086956521739131,43.81910909998987
